iter	Passed	Remaining
167	2579	12777
168	2593	12752
169	2604	12714
170	2615	12681
171	2623	12629
172	2640	12621
173	2651	12586
174	2658	12535
175	2666	12484
176	2674	12436
177	2683	12392
178	2695	12361
179	2703	12316
180	2716	12293
181	2735	12294
182	2742	12243
183	2752	12205
184	2761	12163
185	2770	12123
186	2781	12090
187	2791	12056
188	2798	12010
189	2807	11967
190	2818	11940
191	2831	11914
192	2840	11877
193	2854	11858
194	2862	11816
195	2869	11772
196	2878	11732
197	2888	11698
198	2896	11660
199	2905	11620
200	2920	11608
201	2927	11566
202	2940	11544
203	2948	11506
204	2957	11468
205	2965	11429
206	2974	11394
207	2983	11358
208	2995	11337
209	3004	11302
210	3018	11286
211	3033	11274
212	3046	11255
213	3054	11217
214	3062	11181
215	3070	11146
216	3078	11109
217	3086	11073
218	3095	11040
219	3104	11005
220	3114	10977
221	3123	10945
222	3131	10911
223	3140	10878
224	3149	10847
225	3158	10816
226	3166	10781
227	3175	10753
228	3184	10721
229	3192	10688
230	3201	10657
231	3209	10625
232	3219	10598
233	3232	10582
234	3251	10586
235	3260	10556
236	3269	10525
237	3277	10493
238	3285	10460
239	3293	10428
240	3301	10398
241	3310	10370
242	3320	10344
243	3329	10314
244	3337	10285
245	3345	10254
246	3356	10232
247	3364	10200
248	3369	10164
249	3383	10149
250	3393	10127
251	3401	10096
252	3409	10065
253	3416	10034
254	3429	10018
255	3440	9999
256	3450	9975
257	3458	9945
258	3466	9916
259	3475	9890
260	3484	9866
261	3492	9837
262	3502	9813
263	3511	9790
264	3520	9765
265	3530	9741
266	3539	9716
267	3547	9689
268	3555	9662
269	3568	9649
270	3576	9621
271	3587	9601
272	3595	9574
273	3603	9546
274	3613	9526
275	3629	9520
276	3638	9498
277	3647	9473
278	3656	9449
279	3664	9422
280	3675	9404
281	3682	9374
282	3690	9350
283	3701	9332
284	3711	9312
285	3722	9293
286	3737	9285
287	3753	9279
288	3763	9258
289	3776	9245
290	3784	9220
291	3792	9194
292	3802	9175
293	3810	9150
294	3827	9147
295	3839	9131
296	3850	9114
297	3858	9090
298	3869	9070
299	3877	9047
300	3885	9023
301	3894	9002
302	3902	8977
303	3914	8963
304	3924	8943
305	3932	8918
306	3939	8893
307	3947	8869
308	3959	8853
309	3969	8836
310	3979	8817
311	3988	8795
312	3999	8778
313	4013	8767
314	4026	8756
315	4035	8734
316	4044	8713
317	4053	8692
318	4062	8672
319	4070	8648
320	4078	8626
321	4090	8613
322	4100	8595
323	4108	8571
324	4120	8557
325	4128	8536
326	4138	8516
327	4147	8498
328	4155	8476
329	4165	8456
330	4173	8434
331	4182	8414
332	4191	8396
333	4202	8379
334	4219	8376
335	4233	8365
336	4242	8345
337	4250	8324
338	4261	8308
339	4269	8288
340	4278	8267
341	4286	8246
342	4295	8227
343	4305	8211
344	4315	8193
345	4325	8175
346	4335	8157
347	4343	8137
348	4352	8118
349	4362	8101
350	4370	8081
351	4378	8060
352	4387	8040
353	4395	8020
354	4403	8000
355	4418	7993
356	4426	7971
357	4437	7957
358	4446	7939
359	4457	7924
360	4466	7905
361	4474	7886
362	4483	7867
363	4491	7847
364	4499	7828
365	4511	7814
366	4520	7796
367	4528	7777
368	4537	7759
369	4550	7747
370	4564	7738
371	4576	7726
372	4585	7708
373	4592	7687
374	4601	7668
375	4615	7659
376	4623	7640
377	4632	7623
378	4646	7614
379	4657	7599
380	4667	7583
381	4678	7568
382	4686	7550
383	4695	7532
384	4704	7514
385	4715	7500
386	4727	7487
387	4744	7483
388	4756	7470
389	4770	7461
390	4781	7447
391	4790	7429
392	4798	7411
393	4811	7400
394	4827	7393
395	4837	7377
396	4846	7361
397	4856	7345
398	4864	7326
399	4875	7312
400	4885	7297
401	4892	7277
402	4900	7260
403	4910	7243
404	4921	7230
405	4931	7215
406	4943	7202
407	4960	7198
